file,condition,words,banned_hits,sermon_hits,em_dash_per_1k,sentence_cv,has_prewrite,has_grade,has_merged
run1.txt,without,197,18,4,15.23,0.361,False,False,False
run2.txt,without,170,16,2,17.65,0.343,False,False,False
run3.txt,without,168,10,3,11.9,0.603,False,False,False
run4.txt,without,184,11,4,10.87,0.497,False,False,False
run5.txt,without,177,15,1,16.95,0.436,False,False,False
run1.txt,with,268,0,0,11.19,0.811,True,True,True
run2.txt,with,185,0,0,10.81,1.021,True,True,True
run3.txt,with,182,0,0,0.0,0.663,True,True,True
run4.txt,with,213,0,0,4.69,0.823,True,True,True
run5.txt,with,131,0,0,0.0,0.945,True,True,True
